Hours,Minutes,Seconds,Lat,Lon,Alt
14,52,6,41.45308166666667,84.29957666666665,183.7
14,52,8,41.453086666666664,84.29958166666665,183.7
14,52,9,41.45309166666666,84.29958166666665,183.7
14,52,14,41.45305499999999,84.29955833333334,183.7
14,52,21,41.453065,84.29958666666668,183.7
14,52,24,41.45305333333334,84.29958333333335,183.7
14,52,26,41.453129999999994,84.29942166666666,228.3
14,52,28,41.45313833333333,84.29943,228.2
14,52,34,41.45314499999999,84.29943333333334,229.0
14,52,38,41.45314499999999,84.29943333333334,229.0
14,52,41,41.45314499999999,84.29943333333334,229.0
14,52,45,41.45314499999999,84.29943333333334,229.0
14,52,48,41.45314499999999,84.29943333333334,229.0
14,52,51,41.45314499999999,84.29943333333334,229.0
14,52,54,41.45314499999999,84.29943333333334,229.0
14,53,1,41.45314499999999,84.29943333333334,229.0
14,53,5,41.45314,84.29943166666665,228.5
14,53,11,41.45313833333333,84.29943166666665,228.5
14,53,15,41.45313833333333,84.29943166666665,228.5
14,53,18,41.45313833333333,84.29943166666665,228.4
14,53,24,41.45313833333333,84.29943166666665,228.4
14,53,28,41.45313833333333,84.29943166666665,228.4
14,54,0,41.45312666666667,84.29959,213.5
14,54,4,41.45310833333333,84.29953333333333,219.6
14,54,10,41.45310333333334,84.29953166666668,219.8
14,54,18,41.45310333333334,84.29952999999999,219.8
14,54,19,41.45310333333334,84.29952999999999,219.8
14,54,25,41.45310333333334,84.29952999999999,219.9
14,54,32,41.45310166666666,84.29953166666668,219.9
14,54,35,41.45309666666667,84.29952999999999,219.9
14,54,36,41.453095,84.29953333333333,219.9
14,54,42,41.45308166666667,84.29954833333335,220.2
14,54,45,41.45307833333333,84.29954666666666,220.5
14,54,49,41.45311166666667,84.29956333333332,222.1
14,54,50,41.453120000000006,84.29961,223.5
14,54,53,41.45296166666667,84.29983333333332,235.3525
14,54,59,41.45292166666666,84.30004666666667,266.0
14,55,9,41.45298833333333,84.30060166666665,316.1
14,55,13,41.45299,84.30088333333333,335.5
14,55,19,41.45297000000001,84.30137666666666,360.7
14,55,23,41.452895000000005,84.30171,384.5
14,55,29,41.45272,84.30224333333332,412.8
14,55,38,41.45253833333333,84.30277,459.9
